PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PitchUID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ
21,10/13/2021,1:28:37 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,73.15618,-0.11812,1.71851,1857.33527,332.56385,5:00,4.67482,-2.20584,3.70797,,,,,,,,,,-0.82623,-2.52464,1.99902,50,4.58968,-3.27749,-106.06592,-2.4528,-0.93896,18.5477,-35.04316,fe2e15bd-730c-455d-9b35-4ad42b03be1a,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
22,10/13/2021,1:29:00 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Cutter,Live,,78.59527,1.26917,1.50882,1961.37191,260.8161,2:45,4.3668,-2.35862,3.98846,-47.76958,1.22791,7.8475,1.60704,-0.25346,71.2678,-7.42571,2.94356,0.5038,-3.49927,0.22495,2.17878,50,4.46043,-3.29268,-113.88534,0.74082,-4.54174,23.20778,-31.88209,6898d30e-a2a6-4203-b63f-d4e763e847a3,b7959947-0476-4cd6-a540-95522e7e0494,74.81625,Pitch,21380013,,,,,,,,,,,,,,,,,,
23,10/13/2021,1:29:23 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,88.50565,-2.65119,3.90717,2138.19663,149.56839,11:00,4.52738,-2.15055,4.56816,-18.56932,18.83304,-11.0816,0.44972,0.6493,81.1752,-6.03796,1.88091,0.44017,6.71645,10.3714,1.75552,50,4.23512,-8.31774,-128.21306,-6.68646,11.24483,25.07043,-14.81001,829a5c2c-889a-4d04-a840-6febc489ee94,b7959947-0476-4cd6-a540-95522e7e0494,85.63146,Pitch,21380013,,,,,,,,,,,,,,,,,,
24,10/13/2021,1:29:51 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Cutter,Live,,81.36214,-1.96205,1.93261,2007.41988,232.28211,1:45,4.4709,-2.28215,3.99389,,,,,,,,,,-2.19591,2.63583,2.05682,50,4.2039,-4.19181,-117.96753,-5.64697,-3.09592,22.33813,-28.45789,123bf6ed-4af1-4348-9645-63db79c77912,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
25,10/13/2021,1:30:15 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Cutter,Live,,81.85318,-2.66383,2.00024,2093.33861,201.44321,12:45,4.40461,-2.29105,4.2695,,,,,,,,,,-1.3903,5.61391,2.06969,50,4.08021,-4.2896,-118.69375,-6.84063,-1.98911,22.10227,-24.14218,7a57af69-4864-4fdc-b44d-2a1a1308843f,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
26,10/13/2021,1:30:54 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,87.37162,-2.65039,2.76463,1956.70232,158.36044,11:15,4.52493,-2.21646,4.62984,-18.8377,19.20804,-7.63296,0.43148,-0.22301,80.56277,-6.08042,1.36871,0.44394,4.6136,10.53908,1.93986,50,4.23595,-5.82447,-126.77883,-6.61005,7.58604,23.42318,-14.84489,73fe52e3-b10e-4178-bf46-de9508c2b9fd,b7959947-0476-4cd6-a540-95522e7e0494,84.90433,Pitch,21380013,,,,,,,,,,,,,,,,,,
27,10/13/2021,1:31:15 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,88.41963,-1.90657,2.66679,2067.60659,162.94274,11:30,4.64098,-2.10702,4.51395,-18.31515,19.23027,-5.90994,1.29623,-0.05779,80.82764,-5.2533,1.58386,0.44101,3.75908,10.39025,1.83367,50,4.42457,-5.73892,-128.26207,-5.0033,6.27541,25.99884,-14.82853,4b81b197-352b-4be2-b2f6-6d66fad7f460,b7959947-0476-4cd6-a540-95522e7e0494,85.46816,Pitch,21380013,,,,,,,,,,,,,,,,,,
28,10/13/2021,1:31:39 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,ChangeUp,Live,,81.08834,-1.37926,2.0164,1599.88228,121.65569,10:00,4.39971,-2.13651,4.80686,-35.5788,8.37197,-13.63833,0.12717,-1.36211,74.81069,-7.88166,-0.49419,0.47715,7.59686,4.70069,1.94763,50,4.23239,-3.66695,-117.79871,-4.09135,10.73208,21.2505,-25.5334,ca6ef88d-bc79-4dc4-87dc-6635fd321778,b7959947-0476-4cd6-a540-95522e7e0494,78.995,Pitch,21380013,,,,,,,,,,,,,,,,,,
29,10/13/2021,1:32:20 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,74.80858,-0.27476,1.7548,1911.1054,310.92898,4:15,4.67677,-2.11388,3.51371,,,,,,,,,,-0.61454,-0.96204,1.897,50,4.5746,-3.40582,-108.2695,-2.66094,-0.71753,21.78732,-33.29732,907bdc5b-e112-4050-baf5-4869407a23df,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
30,10/13/2021,1:32:38 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Curveball,Live,,74.4397,0.49581,1.35091,1892.04876,322.37271,4:45,4.71228,-2.1093,3.95154,-59.45893,-5.04872,3.85691,0.23461,-0.48776,68.32379,-10.23936,2.05424,0.5309,-1.54452,-2.69487,1.95072,50,4.70498,-2.68305,-107.93961,-1.18687,-1.81007,19.95649,-35.33223,d1f70e23-abec-4a58-b658-6df89aa1b889,b7959947-0476-4cd6-a540-95522e7e0494,70.99744,Pitch,21380013,,,,,,,,,,,,,,,,,,
